Date,2Y,10Y
31/12/2025,3.71,4.47
30/12/2025,3.74,4.5
29/12/2025,3.72,4.49
24/12/2025,3.74,4.51
23/12/2025,3.74,4.51
22/12/2025,3.75,4.52
19/12/2025,3.75,4.54
18/12/2025,3.74,4.48
17/12/2025,3.72,4.48
16/12/2025,3.76,4.52
15/12/2025,3.76,4.5
12/12/2025,3.75,4.52
11/12/2025,3.78,4.48
10/12/2025,3.79,4.51
09/12/2025,3.79,4.51
08/12/2025,3.81,4.53
05/12/2025,3.8,4.48
04/12/2025,3.73,4.43
03/12/2025,3.75,4.44
02/12/2025,3.74,4.46
01/12/2025,3.76,4.48
28/11/2025,3.74,4.44
27/11/2025,3.76,4.45
26/11/2025,3.74,4.42
25/11/2025,3.77,4.53
24/11/2025,3.78,4.53
21/11/2025,3.78,4.55
20/11/2025,3.8,4.59
19/11/2025,3.82,4.61
18/11/2025,3.81,4.56
17/11/2025,3.8,4.54
14/11/2025,3.85,4.58
13/11/2025,3.77,4.44
12/11/2025,3.74,4.4
11/11/2025,3.73,4.38
10/11/2025,3.81,4.46
07/11/2025,3.8,4.47
06/11/2025,3.79,4.44
05/11/2025,3.81,4.46
04/11/2025,3.79,4.42
03/11/2025,3.8,4.43
31/10/2025,3.77,4.4
30/10/2025,3.8,4.41
29/10/2025,3.77,4.4
28/10/2025,3.77,4.4
27/10/2025,3.78,4.4
24/10/2025,3.8,4.43
23/10/2025,3.79,4.42
22/10/2025,3.78,4.42
21/10/2025,3.85,4.48
20/10/2025,3.85,4.5
17/10/2025,3.88,4.53
16/10/2025,3.86,4.48
15/10/2025,3.89,4.55
14/10/2025,3.91,4.57
13/10/2025,3.95,4.65
10/10/2025,3.96,4.67
09/10/2025,4.02,4.75
08/10/2025,4,4.7
07/10/2025,3.99,4.72
06/10/2025,4,4.74
03/10/2025,3.98,4.7
02/10/2025,4,4.69
01/10/2025,3.97,4.7
30/09/2025,3.99,4.7
29/09/2025,3.99,4.7
26/09/2025,4.03,4.75
25/09/2025,4.02,4.75
24/09/2025,3.96,4.67
23/09/2025,3.96,4.68
22/09/2025,3.99,4.71
19/09/2025,3.98,4.71
18/09/2025,3.97,4.66
17/09/2025,3.97,4.62
16/09/2025,3.97,4.64
15/09/2025,3.95,4.63
12/09/2025,3.99,4.66
11/09/2025,3.94,4.6
10/09/2025,3.94,4.63
09/09/2025,3.92,4.62
08/09/2025,3.9,4.61
05/09/2025,3.92,4.66
